Lyrics (Hook),Song Title
"And then we can do anything we want
And then we can do anything we want
And then we can do anything we want",Anything We Want
"Oooh, after all the folderol
And hauling over coals stops
What did I learn?",Better Version of Me
"My feel for you, boy
Is decaying in front of me
Like the carrion of a murdered prey
And all I want
Is to save you, honey
Or the strength to walk
Away",Carrion
The child is gone,The Child Is Gone
"Cause you and I will be like a couple of cosmonauts
Except with way more gravity than when we started off
Oh, you and I will be like a couple of cosmonauts
Except with way more gravity than when we started off",Cosmonauts
"Ooh
What I need is a good defense
'Cause I'm feelin' like a criminal
And I need to be redeemed
To the one I've sinned against
Because he's all I ever knew of love",Criminal
"And don't let me ruin me
I may need a chaperone",Daredevil
"Why did you not want to try?
Why did you take it all away?
Why did you not want to try?
Why did you take it all away?
Why did you not want to try?
Why did you take it all away?
Why did you not want to try?
Why did you take it all away?

Why did you not want to try?
Why did you take it all away?
Why did you not want to try?
Why did you take it all away?
Why did you not want to try?
Why did you take it all away?
Why did you not want to try?
Why did you take it all away?
And",Drumset
"Every single night's alight with my brain, brain

Every single night's a fight with my brain, brain

Every single night's alright, every single night's a fight
And every single fight's alright with my brain, brain",Every Single Night
"If there was a better way to go then it would find me
I can't help it, the road just rolls out behind me
Be kind to me, or treat me mean
I'll make the most of it, I'm an extraordinary machine",Extraordinary Machine
"Fast as you can, baby
Run, free yourself of me
Fast as you can

Fast as you can, baby
Scratch me out, free yourself
Fast as you can
Fast as you can, baby
Scratch me out, free yourself
Fast as you can

Fast as you can, baby, wait, watch me; I'll be out
Fast as I can, maybe late but at least about
Fast as you can, leave me, let this thing run its route",Fast as You Can
"Fetch the bolt cutters, I've been in here too long
Fetch the bolt cutters, I've been in here too long
Fetch the bolt cutters, I've been in here too long
Fetch the bolt cutters

Fetch the bolt cutters, I've been in here too long
Fetch the bolt cutters (I've been in here too long)
Whatever happens, whatever happens (Whatever happens)
Fetch the bolt cutters, I've been in here too long
Fetch the bolt cutters

Fetch the bolt cutters, I've been in here too long
Fetch the bolt cutters, whatever happens, whatever happens
Fetch the bolt cutters, I've been in here too long
Fetch the bolt cutters, whatever happens, whatever happens
Fetch the bolt cutters (I've been in here too long)
Whatever happens, whatever happens",Fetch the Bolt Cutters
"Give me the first taste
Let it begin
Heaven cannot wait forever
Darling, just start the chase
I'll let you win
But you must make the endeavor",The First Taste
"You arrive and drive by like a sauced up bat
Like you know you should know, but you don't know where it's at
Like you know you should know, but you don't know where it's at
Like you know you should know, but you don't know where it's at
You arrive and drive by like a sauced up bat
Like you know you should know, but you don't know where it's at
You arrive and drive by like a sauced up bat",For Her
"How can I deal with this
If he won't get with this?
Am I gonna heal from this?
He won't admit to it
Nothing to figure out
I gotta get him out
It's time the truth was out
That he don't give a shit about me",Get Gone
"Wait till I get him back
He won't have a back to scratch
Yeah, keep turning that chin
And you will see my face
As I figure how to kill what I cannot catch

So wait till I get him back
I'm gonna bring him home and I'll watch him unpack
Yeah, keep turning that chin
And you will see my face is fixed on the one
I'm gonna get back",Get Him Back
"I spread like strawberries (I spread like strawberries)
I climb like peas and beans (I climb like peas and beans)
I've been sucking it in so long
That I'm busting at the seams
I spread like strawberries (I spread like strawberries)
I climb like peas and beans (I climb like peas and beans)
I've been sucking it in so long
That I'm busting at the seams",Heavy Balloon
