Lyrics (Verse),Song Title
"Man, I swear my nigga trippin' off that shit again
Pick him up, then I set him in cold water
Then I order someone to bring him Vicodin
Hope that take the pain away
From the feelin' that he feel today
You know when you part of Section.80
You feel like no one can relate
'Cause you are, you are, a loner, loner
Marijuana endorphins make you stronger, stronger
I'm in the house party trippin' off
My generation sippin' cough syrup like it's water
Never no pancakes in the kitchen
Man, not one of our lives is caught up
In the daily superstition that the world is 'bout to end
Who gives a fuck? We never do listen
'Less it comes with an 808 (A melody and some hoes)
PlayStation and some drank (Technology bought my soul)
Lookin' around and all I see is a big crowd that's product of me
And they probably relatives relevant for a rebel's dream
Yep, her president is Black, she Black too
Purple Label on her back, but that tab is light blue
She take it straight to the head, then she look at me
She got ADHD",A.D.H.D
"What's your life about? Enlighten me
Is you gon' live on your knees or die on your feet?
It's fire in the street, fire in my Swisher
Fire in between the two legs of your lil' sister
Just get a sip of this elixir
Before they crop us out the picture
I've never seen a crop circle
But I seen cops circle the block
I puff squares, but I swear, one day, I'ma stop
My nerves itch
On the brink of my career
While my peers struggle for employment
Can you hear these screams?
(Uncle Sam ain't no kin to me)
One, two, three, four grams and a fifth of Hennessy
A bad bitch, fuck the penitentiary
Section 80s babies, blame Ronald Reagan
We raising hell, hell (Oh)
Lord forbid, the homies got wet, so we trying to soak it in
The president is Black, but you can't vote for skin
You vote for the better man
Come to our show, you could see the diversity
Unify the people, they gon' peep it universally
We might not change the world
But we gon' manipulate it, I hope you participatin'
Ayo, Dot, won't you let these cats know?
We knew we'd be here, like, back in '04
Started HiiiPower because our generation needed a generator
In a system meant to disintegrate us (Ooh)
And all we do is assist them
We're not victors, we're victims
The bigger picture isn't developed yet
Like, what if Keisha was celibate?
Or what if Tammy came across a real man
Who didn't play games like children?
My nigga cheated on his girlfriend
With his girlfriend's girlfriend, let the world end
And everybody tripping off 2012
And the extraterrestrial presence as well
(Odd Future's aight) But our future is not
That martial law shit drop, we gon' all get got
So keep that question mark on your face
Eat your fast food, use your fluoride toothpaste
Hide your feelings from the public, work your lil' nine to five
Don't forget to pay your tithes and thank God you're alive
HiiiPower
And on another note
We focused like the Hubble Telescope
Soul",Ab-Soul's Outro
"Tell me what you gon' do to me
Confrontation ain't nothin' new to me
You can bring a bullet, bring a sword, bring a morgue
But you can't bring the truth to me
Fuck you and all your expectations
I don't even want your congratulations
I recognize your false confidence
And calculated promises all in your conversation
I hate people that feel entitled
Look at me crazy 'cause I ain't invite you
Oh, you important?
You the moral to the story? You endorsin'?
Motherfucker, I don't even like you
Corrupt a man's heart with a gift
That's how you find out who you dealin' with
A small percentage who I'm buildin' with
I want the credit if I'm losin' or I'm winnin'
On my momma, that's the realest shit",All the Stars
"Uh, and when I wake up
I recognize you're looking at me for the pay cut
But homicide be looking at you from the face down
What MAC-11 even boom with the bass down?
Schemin', and let me tell you 'bout my life
Painkillers only put me in the twilight
Where pretty pussy and Benjamin is the highlight
Now tell my momma I love her, but this what I like, Lord knows
Twenty of 'em in my Chevy, tell 'em all to come and get me
Reaping everything I sow, so my karma coming heavy
No preliminary hearings on my record
I'm a motherfucking gangster in silence for the record, uh
Tell the world I know it's too late
Boys and girls, I think I've gone cray
Drown inside my vices all day
Won't you please believe when I say",Alright
"Me and my niggas four deep in a white Toyota
A quarter tank of gas, one pistol, an orange soda
Janky stash box when the federales'll roll up
Basketball shorts with the Gonzales Park odor
We on the mission for bad bitches and trouble
I hope the universe love you today
'Cause the energy we bringin' sure to carry away
A flock of positive activists that fill they body with hate
If it's necessary; bumpin' Jeezy first album, lookin' distracted
Speakin' language only we know, you think it's an accent
The windows roll down, all I see is a hand pass it
Hotboxin' like George Foreman grillin' the masses
Of the workin' world; we pulled up on a bunch of workin' girls
And asked them what they workin' with
Look at me, I got the blunt in my mouth
Usually I'm drug-free, but, shit, I'm with the homies",The Art of Peer Pressure
"My auntie is a man now
I think I'm old enough to understand now
Drinking Paul Masson with her hat turned backwards
Motorola pager, off-white Guess jacket
Blue Air Max's, gold chains, and curl kits
'93 Nissan wax job, the earliest
Big social, big personality, vocal
Played the underground verbatim and stayed local
My auntie is a man now
I watch him and his girl hold their hands down
Tip of the avenues under street lights made his
Thinking, ""I want me a bad bitch when I get big""
They hug on the corner like California king
Cold hand all up her skirt, cars whistling down the road
See, my auntie is a man now, slight bravado
Scratching the likes from lotto
Hoping that she pull up tomorrow
So I can hang out in the front seat
Six by nines keeping the music up under me
My auntie is a man now
Asked my momma why my uncles don't like him that much
And at the parties why they always wanna fight him that much
She said, ""Ain't no tellin'
Niggas always been jealous because he had more women
More money and more attention made more envy
Calling him anything but broke was less offending""",Auntie Diaries
"Goddamn I feel amazin', damn, I'm in the Matrix
My mind is livin' on cloud nine and this 9 is never on vacation
Start up that Maserati and – vroom-vroom! – I'm racin'
Poppin' pills in the lobby and I pray they don't find her naked
And I pray you niggas is hatin', shooters go after Judas
Jesus Christ, if I live life on my knees ain't no need to do this
Park it in front of Lueders, next to that Church's Chicken
All you pussies is losers, all my niggas is winnin', screamin'—",Backseat Freestyle
"Sir Duckworth or Kung-Fu Kenny?
Got juice, got work, got weight, got plenty
Got them, got her, got more, got Benji, yeah
Top off, gettin' topped off in the city
Big Top Dawg and I dance on 'em like Diddy
Pop off and I pop back like Fiddy, yeah
I hit the ceilin' and forgot about the floor, yeah
Brand so big, got my haters on the ropes, yeah
This be the wave plus I live on the coast, yeah
When I touch a bag, young nigga do the most, yeah
Mmm, woo, and I Wakanda flex (Yeah)
And you know what time it is (Yeah)
But don't know what grindin' is (Yeah)
Baby, I care, baby, I swear
Only one real nigga here, only two real niggas here, yeah",Big Shot
"Look inside of my soul and you can find gold and maybe get rich
Look inside of your soul and you can find out it never exist
I can feel the changes, I can feel a new life, I always
Knew life can be dangerous, I can say that I like a challenge
And you tell me it's painless, you don't know what pain is
How can I paint this picture when the color blind is hangin' witcha?
Fell on my face and awoke with a scar, another mistake livin' deep in my heart
Wear it on top of my sleeve in a flick, I can admit that it did look like yours
Why you resent every makin' of his? Tell me your purpose is petty again
But even a small lighter can burn a bridge, even a small lighter can burn a bridge","Bitch, Don't Kill My Vibe"
"King of my city, king of my country, king of my homeland
King of the filthy, king of the fallen, we livin' again
King of the shooters, looters, boosters, and ghettos poppin'
King of the past, present, future, my ancestors watchin'
King of the culture, king of the soldiers, king of the bloodshed
King of the wisdom, king of the ocean, king of the respect
King of the optimistics and dreamers that go and get it
King of the winner's district and geniuses with conviction",Black Panther
