Lyrics (Hook),Song Title
"In the middle of the night, in my dreams
You should see the things we do, baby
In the middle of the night, in my dreams
I know I'm gonna be with you, so I take my time
Are you ready for it?",...Ready for It?
"Causе there we arе again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well

'Cause there we are again in the middle of the night
We're dancin' 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well
And there we are again when nobody had to know
You kept me like a secret, but I kept you like an oath
Sacred prayer and we'd swear
To remember it all too well, yeah

'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well",All Too Well (10 Minute Version) (Taylor's Version) (From the Vault)
"It's me, hi
I'm the problem, it's me
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero",Anti-Hero
"You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe (This is the last time, this is the last time)
This is the last time I'll ever call you, babe
(What about your promises, promises, promises?)

You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe (This is the last time, this is the last time)
This is the last time I'll ever call you",Babe (Taylor's Version) (From the Vault)
"So, this is me swallowing my pride
Standing in front of you saying, ""I'm sorry for that night""
And I go back to December all the time
It turns out freedom ain't nothing but missing you
Wishing I'd realized what I had when you were mine
I go back to December, turn around and make it alright
I go back to December all the time

So, this is me swallowing my pride
Standing in front of you, saying, ""I'm sorry for that night""
And I go back to December all the time
It turns out freedom ain't nothing but missing you
Wishing I'd realized what I had when you were mine
I go back to December, turn around and change my own mind
I go back to December all the time

But this is me swallowing my pride
Standing in front of you, saying, ""I'm sorry for that night""
And I go back to December
It turns out freedom ain't nothing but missing you
Wishing I'd realized what I had when you were mine
I go back to December, turn around and make it alright
I go back to December, turn around and change my own mind
I go back to December all the time",Back to December
"Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!

'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em (Think we can solve 'em)
You made a really deep cut
And baby, now we've got bad blood, hey!
'Cause baby, now we've got bad blood
You know it used to be mad love
So take a look what you've done (Look what you've done)
'Cause baby, now we've got bad blood, hey!
Now we've got problems
And I don't think we can solve 'em
You made a really deep cut
And baby, now we've got bad blood, hey!",Bad Blood
"All that I wanted was to be wanted
Too young to wander London streets, alone and haunted
Born into nothing
At least you have something, something to cling to
Visions of dazzling rooms I'll never get let into
And the memories were lost long ago
But at least you have beautiful ghosts

All that I wanted was to be wanted
I'll never wander London streets, alone and haunted
Born into nothing
With them, I have something, something to cling to
I never knew I'd love this world they've let me into
And the memories were lost long ago
So I'll dance with these beautiful ghosts
And the memories were lost long ago
So I'll dance with these beautiful ghosts",Beautiful Ghosts
"And you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break, and burn, and end
But on a Wеdnesday in a café, I watched it begin again",Begin Again (Taylor's Version)
"Sometimes, in the middle of the night, I can feel you again
But I just miss you, and I just wish you were a better man
And I know why we had to say goodbye like the back of my hand
But I just miss you, and I just wish you were a better man
A better man

Sometimes, in the middle of the night, I can feel you again
But I just miss you, and I just wish you were a better man
And I know why we had to say goodbye, like the back of my hand
But I just miss you, and I just wish you were a better man
A better man
(Sometimes, in the middle of the night, I can feel you again)
We might still be in love, if you were a better man
(But I just miss you and I just wish you were a better man)
Yeah, yeah
I know why we had to say goodbye like the back of my hand
But I just miss you and I just wish you were a better man
A better man",Better Man (Taylor's Version) (From the Vault)
"But if I just showed up at your party
Would you have me? Would you want me?
Would you tell me to go fuck myself
Or lead me to the garden?
In the garden, would you trust me
If I told you it was just a summer thing?
I'm only seventeen, I don't know anything
But I know I miss you

Yeah, I showed up at your party
Will you have me? Will you love me?
Will you kiss me on the porch
In front of all your stupid friends?
If you kiss me, will it be just like I dreamed it?
Will it patch your broken wings?
I'm only seventeen, I don't know anything
But I know I miss you",Betty
"So, it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless, mm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name",Blank Space
"I wish I was strong enough to lift not one but both of us
Some day I will be strong enough to lift not one but both of us",Both of Us (feat. Taylor Swift)
"But I knew you
Dancin' in your Levi's
Drunk under a streetlight, I
I knew you
Hand under my sweatshirt
Baby, kiss it better, I
[Refrain]
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite

But I knew you
Playing hide-and-seek and
Giving me your weekends, I
I knew you
Your heartbeat on the High Line
Once in twenty lifetimes, I

'Cause I knew you
Steppin' on the last train
Marked me like a bloodstain, I
I knew you
Tried to change the ending
Peter losing Wendy, I
I knew you
Leavin' like a father
Running like water, I
And when you are young, they assume you know nothing",Cardigan
"Into the mist, into the clouds
Don't leave
I make a fist, I'll make it count
And there are places I will never, ever go
And things that only Carolina will ever know",Carolina
"Because these things will change
Can you feel it now?
These walls that they put up to hold us back will fall down
This revolution, the time will come
For us to finally win
And we’ll sing hallelujah, we'll sing hallelujah
Oh, oh

It was the night things changed
Can you see it now?
When the walls that they put up to hold us back fell down
It's a revolution, throw your hands up
'Cause we never gave in
And we'll sing hallelujah, we sang hallelujah
Hallelujah",Change (Taylor's Version)
"Under the mistletoe
Watchin' the fire glow
And tellin' me, ""I love you""
Just bein' in your arms
Takes me back to that little farm
Where every wish comes true

Under the mistletoe (To you)
Watching the fire glow
And tellin' me, ""I love you""",Christmas Tree Farm
"You lift my feet off the ground
You spin me around
You make me crazier, crazier
Feels like I'm fallin' and I am lost in your eyes
You make me crazier, crazier, crazier",Crazier
"Is it cool that I said all that?
Is it chill that you're in my head?
'Cause I know that it's delicate (Delicate)
Is it cool that I said all that?
Is it too soon to do this yet?
'Cause I know that it's delicate

('Cause I like you)
Is it cool that I said all that?
Is it chill that you're in my head?
'Cause I know that it's delicate (Delicate)
(Yeah, I want you)
Is it cool that I said all that?
Is it too soon to do this yet?
'Cause I know that it's delicate (Delicate)
('Cause I like you)
Is it cool that I said all that? (Isn't it?)
Is it chill that you're in my head? (Isn't it? Isn't it?)
'Cause I know that it's delicate (Isn't it delicate?)
(Yeah, I want you)
Is it cool that I said all that? (Isn't it?)
Is it too soon to do this yet? (Isn't it? Isn't it?)
'Cause I know that it's delicate
Isn't it delicate?",Delicate
"I wanna be your end game
I wanna be your first string
I wanna be your A-Team (Woah, woah, woah)
I wanna be your end game, end game

I wanna be your end game (End game)
I wanna be your first string (First string)
I wanna be your A-Team (A-Team)
I wanna be your end game, end game

I wanna be your end game (End game)
I wanna be your first string (Me and you; First string)
I wanna be your A-Team (Be your A-Team now; A-Team)
I wanna be your end game, end game
I wanna be your end game (Oh, I do)
I wanna be your first string (First string)
I wanna be your A-Team (A-Team)
I wanna be your end game, end game",End Game
"Cause all I know is we said hello
And your eyes look like coming homе
All I know is a simple name
Everything has changеd
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed",Everything Has Changed (Taylor's Version)
"I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town, now I'm in exile, seein' you out
I think I've seen this film before

I think I've seen this film before
And I didn't like the ending
I'm not your problem anymore
So who am I offending now?
You were my crown, now I'm in exile, seein' you out
I think I've seen this film before
So I'm leaving out the side door",Exile
"Everybody's waitin' for you to break down
Everybody's watchin' to see the fallout
Even when you're sleepin', sleepin'
Keep your eyes open",Eyes Open (Taylor's Version)
"And I don't know how it gets better than this
You take my hand and drag me head first, fearless
And I don't know why but with you I'd dance
In a storm in my best dress, fеarless",Fearless (Taylor's Version)
"Cause when you're fifteen and somebody tells you they love you
You're gonna believe them
And when you're fifteen, feelin' like there's nothin' to figure out
Well, count to ten, take it in
This is life before you know who you're gonna be
At fifteen

'Cause when you're fifteen and somebody tells you they love you
You're gonna believe them
And when you're fifteen and your first kiss
Makes your head spin around, well
In your life you'll do things greater than
Datin' the boy on the football team
I didn't know it at fifteen

'Cause when you're fifteen and somebody tells you they love you
You're gonna believe them
And when you're fifteen, don't forget to look before you fall
But I've found time can heal most anything
And you just might find who you're supposed to be
I didn't know who I was supposed to be
At fifteen",Fifteen (Taylor's Version)
"I don't wanna live forever
'Cause I know I'll be living in vain
And I don't wanna fit wherever
I just wanna keep calling your name
Until you come back home
I just wanna keep calling your name
Until you come back home
I just wanna keep calling your name
Until you come back home",I Don't Wanna Live Forever (ZAYN & Taylor Swift)
"Cause I knew you were troublе when you walked in
So shame on mе now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
Now I'm lying on the cold hard ground
Oh, oh
Trouble, trouble, trouble
Oh, oh
Trouble, trouble, trouble",I Knew You Were Trouble (Taylor's Version)
"Come back, come back, come back to me like
You would, you would if this was a movie
Stand in the rain outside 'til I came out
Come back, come back, come back to me like
You could, you could if you just said you're sorry
I know that we could work it out somehow
But if this was a movie, you'd be here by now",If This Was a Movie (Taylor's Version)
"Cause karma is my boyfriend
Karma is a god
Karma is the breeze in my hair on the weekend
Karma's a relaxing thought
Aren't you envious that for you it's not?
Sweet like honey, karma is a cat
Purring in my lap 'cause it loves me
Flexing like a goddamn acrobat
Me and karma vibe like tha
",Karma
